date_of_census,total_adults_in_shelter,total_children_in_shelter,total_individuals_in_shelter,single_adult_men_in_shelter,single_adult_women_in_shelter,total_single_adults_in_shelter,families_with_children_in_shelter,adults_in_families_with_children_in_shelter,children_in_families_with_children_in_shelter,total_individuals_in_families_with_children_in_shelter_,adult_families_in_shelter,individuals_in_adult_families_in_shelter,avg_num_single_adult_men_in_shelter,avg_num_single_adult_women_in_shelter
2024-05-22,53751,32578,86329,15278,5019,20297,18927,29504,32578,62082,1834,3950,3.5181960989658334,10.709503885236103
2024-05-21,53799,32612,86411,15322,5016,20338,18942,29527,32612,62139,1828,3934,3.5112256885524085,10.72547846889952
2024-05-20,53776,32576,86352,15309,5009,20318,18937,29515,32576,62091,1831,3943,3.51270494480371,10.735875424236374
2024-05-19,53739,32555,86294,15269,5012,20281,18934,29519,32555,62074,1828,3939,3.5194839216713603,10.722067039106145
2024-05-18,53663,32519,86182,15257,4983,20240,18914,29489,32519,62008,1826,3934,3.517270760962181,10.769215332129239
2024-05-17,53729,32604,86333,15240,4973,20213,18962,29565,32604,62169,1834,3951,3.5255249343832022,10.804142368791474
2024-05-16,53803,32676,86479,15267,5009,20276,18991,29594,32676,62270,1826,3933,3.5241370275758173,10.741265721700938
2024-05-15,53897,32737,86634,15254,5018,20272,19030,29655,32737,62392,1844,3970,3.5333027402648485,10.740733359904345
2024-05-14,53835,32647,86482,15232,5020,20252,18987,29599,32647,62246,1850,3984,3.5343356092436973,10.724103585657371
2024-05-13,53829,32634,86463,15277,5021,20298,18970,29590,32634,62224,1829,3941,3.523532107089088,10.720772754431389
2024-05-12,53838,32715,86553,15208,5023,20231,19036,29677,32715,62392,1824,3930,3.540110468174645,10.718295839139957
2024-05-11,53894,32683,86577,15281,5038,20319,18999,29631,32683,62314,1831,3944,3.52686342516851,10.697499007542676
2024-05-10,53903,32674,86577,15288,5032,20320,19002,29625,32674,62299,1837,3958,3.525837257980115,10.712042925278219
2024-05-09,54114,32744,86858,15458,5016,20474,19028,29673,32744,62417,1840,3967,3.500711605641092,10.788277511961722
2024-05-08,54060,32754,86814,15406,5011,20417,19021,29664,32754,62418,1847,3979,3.5090224587822925,10.788265815206545
2024-05-07,54050,32715,86765,15435,4996,20431,19006,29649,32715,62364,1843,3970,3.501781665046971,10.818654923939151
2024-05-06,54089,32723,86812,15456,5009,20465,19002,29646,32723,62369,1847,3978,3.4995471014492754,10.798362946695947
2024-05-05,54028,32732,86760,15431,4985,20416,18999,29636,32732,62368,1846,3976,3.501263689974726,10.838114343029087
