month_year,encampment_complaints_by_month
2021-09-01,15
2021-09-02,12
2021-09-03,18
2021-09-04,17
2021-09-05,21
2021-09-06,16
2021-09-07,25
2021-09-08,25
2021-09-09,30
2021-09-10,30
2021-09-11,19
2021-09-12,19
2021-09-13,28
2021-09-14,47
2021-09-15,22
2021-09-16,13
2021-09-17,35
2021-09-18,22
2021-09-19,7
2021-09-20,20
2021-09-21,28
2021-09-22,41
2021-09-23,29
2021-09-24,18
2021-09-25,20
2021-09-26,32
2021-09-27,37
2021-09-28,20
2021-09-29,25
2021-09-30,28
2021-10-01,20
2021-10-02,15
2021-10-03,19
2021-10-04,33
2021-10-05,33
2021-10-06,29
2021-10-07,30
2021-10-08,19
2021-10-09,21
2021-10-10,31
2021-10-11,26
2021-10-12,24
2021-10-13,30
2021-10-14,29
2021-10-15,30
2021-10-16,22
2021-10-17,15
2021-10-18,32
2021-10-19,18
2021-10-20,22
2021-10-21,28
2021-10-22,23
2021-10-23,11
2021-10-24,13
2021-10-25,21
2021-10-26,18
2021-10-27,13
2021-10-28,15
2021-10-29,22
2021-10-30,21
2021-10-31,6
2021-11-01,26
2021-11-02,17
2021-11-03,27
2021-11-04,26
2021-11-05,11
2021-11-06,17
2021-11-07,24
2021-11-08,30
2021-11-09,44
2021-11-10,28
2021-11-11,28
2021-11-12,17
2021-11-13,13
2021-11-14,18
2021-11-15,22
2021-11-16,28
2021-11-17,24
2021-11-18,22
2021-11-19,14
2021-11-20,29
2021-11-21,12
2021-11-22,25
2021-11-23,11
2021-11-24,18
2021-11-25,18
2021-11-26,15
2021-11-27,15
2021-11-28,22
2021-11-29,20
2021-11-30,25
2021-12-01,21
2021-12-02,40
2021-12-03,22
2021-12-04,15
2021-12-05,17
2021-12-06,31
2021-12-07,13
2021-12-08,27
2021-12-09,15
2021-12-10,14
2021-12-11,14
2021-12-12,12
2021-12-13,17
2021-12-14,23
2021-12-15,10
2021-12-16,16
2021-12-17,22
2021-12-18,10
2021-12-19,13
2021-12-20,28
2021-12-21,20
2021-12-22,20
2021-12-23,24
2021-12-24,14
2021-12-25,5
2021-12-26,14
2021-12-27,17
2021-12-28,25
2021-12-29,37
2021-12-30,32
2021-12-31,20
2022-01-01,19
2022-01-02,30
2022-01-03,14
2022-01-04,13
2022-01-05,22
2022-01-06,20
2022-01-07,14
2022-01-08,7
2022-01-09,35
2022-01-10,28
2022-01-11,35
2022-01-12,24
2022-01-13,34
2022-01-14,22
2022-01-15,9
2022-01-16,8
2022-01-17,15
2022-01-18,24
2022-01-19,42
2022-01-20,20
2022-01-21,16
2022-01-22,9
2022-01-23,16
2022-01-24,14
2022-01-25,43
2022-01-26,34
2022-01-27,71
2022-01-28,22
2022-01-29,4
2022-01-30,10
2022-01-31,169
2022-02-01,49
2022-02-02,20
2022-02-03,18
2022-02-04,15
2022-02-05,13
2022-02-06,85
2022-02-07,20
2022-02-08,18
2022-02-09,14
2022-02-10,21
2022-02-11,27
2022-02-12,7
2022-02-13,14
2022-02-14,43
2022-02-15,17
2022-02-16,14
2022-02-17,23
2022-02-18,35
2022-02-19,10
2022-02-20,9
2022-02-21,16
2022-02-22,63
2022-02-23,15
2022-02-24,17
2022-02-25,11
2022-02-26,10
2022-02-27,11
2022-02-28,20
2022-03-01,11
2022-03-02,76
2022-03-03,16
2022-03-04,10
2022-03-05,10
2022-03-06,23
2022-03-07,16
2022-03-08,20
2022-03-09,18
2022-03-10,13
2022-03-11,13
2022-03-12,8
2022-03-13,5
2022-03-14,16
2022-03-15,20
2022-03-16,22
2022-03-17,13
2022-03-18,15
2022-03-19,14
2022-03-20,13
2022-03-21,17
2022-03-22,14
2022-03-23,8
2022-03-24,10
2022-03-25,9
2022-03-26,17
2022-03-27,25
2022-03-28,31
2022-03-29,26
2022-03-30,31
2022-03-31,50
2022-04-01,29
2022-04-02,18
2022-04-03,13
2022-04-04,35
2022-04-05,37
2022-04-06,37
2022-04-07,22
2022-04-08,26
2022-04-09,19
2022-04-10,21
2022-04-11,44
2022-04-12,25
2022-04-13,29
