report_date,borough,community_district,adult_shelter,adult_shelter_comm_hotel,fwc_shelter,adult_family_shelter,fwc_cluster,fwc_comm_hotel,adult_family_comm_hotel
2021-09-30,Bronx,201,3,2,6,0,0,0,0
2021-09-30,Bronx,202,0,0,5,1,1,0,0
2021-09-30,Bronx,203,7,2,6,1,0,0,0
2021-09-30,Bronx,204,2,0,13,0,2,0,0
2021-09-30,Bronx,205,3,0,7,1,3,0,0
2021-09-30,Bronx,206,2,0,18,1,0,0,0
2021-09-30,Bronx,207,5,0,3,1,0,0,0
2021-09-30,Bronx,208,0,0,1,0,0,0,0
2021-09-30,Bronx,209,2,0,6,0,0,0,0
2021-09-30,Bronx,210,0,0,3,0,0,0,0
2021-09-30,Bronx,211,0,0,0,0,0,0,0
2021-09-30,Bronx,212,1,0,3,0,0,0,0
2021-09-30,Brooklyn,301,4,1,0,1,0,0,0
2021-09-30,Brooklyn,302,3,0,1,1,0,0,0
2021-09-30,Brooklyn,303,5,0,6,0,0,0,0
2021-09-30,Brooklyn,304,3,2,4,0,0,0,0
2021-09-30,Brooklyn,305,6,3,6,0,0,0,0
2021-09-30,Brooklyn,306,2,3,1,1,0,0,0
2021-09-30,Brooklyn,307,2,5,1,0,0,0,0
2021-09-30,Brooklyn,308,3,1,5,0,0,0,0
2021-09-30,Brooklyn,309,1,0,1,0,0,0,0
2021-09-30,Brooklyn,312,1,0,1,0,0,0,0
2021-09-30,Brooklyn,313,0,1,1,0,0,0,0
2021-09-30,Brooklyn,314,0,0,1,0,0,0,0
2021-09-30,Brooklyn,315,0,0,1,0,0,0,0
2021-09-30,Brooklyn,316,4,5,15,0,0,0,0
2021-09-30,Brooklyn,317,0,1,3,0,0,0,0
2021-09-30,Brooklyn,318,0,0,1,1,0,0,0
2021-09-30,Manhattan,101,0,1,0,0,0,1,0
2021-09-30,Manhattan,102,0,0,0,0,0,0,0
2021-09-30,Manhattan,103,6,3,3,0,0,0,0
2021-09-30,Manhattan,104,2,1,0,0,0,1,0
2021-09-30,Manhattan,105,0,2,1,1,0,5,0
2021-09-30,Manhattan,106,3,1,0,0,0,0,0
2021-09-30,Manhattan,107,2,0,3,1,0,0,0
2021-09-30,Manhattan,108,1,0,0,0,0,0,0
2021-09-30,Manhattan,109,0,0,4,0,0,0,0
2021-09-30,Manhattan,110,11,0,8,0,0,0,0
2021-09-30,Manhattan,111,10,0,7,0,0,0,0
2021-09-30,Manhattan,112,3,0,0,0,0,0,0
2021-09-30,Queens,401,1,5,2,0,0,0,0
2021-09-30,Queens,402,0,2,1,1,0,1,0
2021-09-30,Queens,403,0,2,4,0,0,0,0
2021-09-30,Queens,404,0,2,1,0,0,0,0
2021-09-30,Queens,405,1,0,0,0,0,0,0
2021-09-30,Queens,407,2,0,0,0,0,0,0
2021-09-30,Queens,408,0,0,1,0,0,0,0
2021-09-30,Queens,409,1,0,0,0,0,0,0
2021-09-30,Queens,410,1,1,0,0,0,1,2
2021-09-30,Queens,412,3,3,6,1,0,0,0
2021-09-30,Queens,413,0,5,2,0,0,0,0
2021-09-30,Queens,414,1,1,1,1,0,0,0
2021-09-30,Staten Island,501,0,0,1,0,0,0,0
2021-10-31,Bronx,201,3,2,6,0,0,0,0
2021-10-31,Bronx,202,1,0,5,1,0,0,0
2021-10-31,Bronx,203,7,2,6,1,0,0,0
2021-10-31,Bronx,204,2,0,13,0,0,0,0
2021-10-31,Bronx,205,3,0,7,1,0,0,0
2021-10-31,Bronx,206,2,0,18,1,0,0,0
2021-10-31,Bronx,207,5,0,3,1,0,0,0
2021-10-31,Bronx,208,0,0,1,0,0,0,0
2021-10-31,Bronx,209,2,0,6,0,0,0,0
2021-10-31,Bronx,210,0,0,3,0,0,0,0
2021-10-31,Bronx,211,0,0,0,0,0,0,0
2021-10-31,Bronx,212,1,0,3,0,0,0,0
2021-10-31,Brooklyn,301,5,1,0,1,0,0,0
2021-10-31,Brooklyn,302,3,0,1,1,0,0,0
2021-10-31,Brooklyn,303,5,0,6,0,0,0,0
2021-10-31,Brooklyn,304,4,2,4,0,0,0,0
2021-10-31,Brooklyn,305,6,3,6,0,0,0,0
2021-10-31,Brooklyn,306,2,3,1,1,0,0,0
2021-10-31,Brooklyn,307,2,5,1,0,0,0,0
2021-10-31,Brooklyn,308,3,1,5,0,0,0,0
2021-10-31,Brooklyn,309,1,0,1,0,0,0,0
2021-10-31,Brooklyn,312,1,0,1,0,0,0,0
2021-10-31,Brooklyn,313,0,1,1,0,0,0,0
2021-10-31,Brooklyn,314,0,0,1,0,0,0,0
2021-10-31,Brooklyn,315,0,0,1,0,0,0,0
2021-10-31,Brooklyn,316,4,6,15,0,0,0,0
2021-10-31,Brooklyn,317,0,1,3,0,0,0,0
2021-10-31,Brooklyn,318,0,0,1,1,0,0,0
2021-10-31,Manhattan,101,0,1,0,0,0,1,0
2021-10-31,Manhattan,102,0,0,0,0,0,0,0
2021-10-31,Manhattan,103,5,3,3,0,0,0,0
2021-10-31,Manhattan,104,2,1,0,0,0,1,0
2021-10-31,Manhattan,105,0,2,1,1,0,5,0
